,,,,,,Bryozoa,Arthropoda,Mollusca,Mollusca,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Arthropoda,Arthropoda,Mollusca,Chordata,Chordata,Chordata,Bryozoa,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Chordata,Arthropoda,NA,Rhodophyta,Chordata,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Mollusca,Arthropoda,Bryozoa,Chordata,Rhodophyta,Chordata,Chordata,NA,NA,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Rhodophyta,Arthropoda,Annelida,Arthropoda,Platyhelminthes,Platyhelminthes,Arthropoda,Mollusca,Rhodophyta,Arthropoda,Arthropoda,Arthropoda,Chordata,Chordata,Chordata,Chordata,Chordata,Mollusca,Nematoda,Arthropoda,Ochrophyta,Platyhelminthes,Platyhelminthes,Mollusca,Platyhelminthes,Rhodophyta,Rhodophyta,Rhodophyta,Arthropoda,Arthropoda,Rhodophyta,Rhodophyta,Bryozoa,Arthropoda,Annelida,NA,Annelida,Annelida,Annelida,Annelida,Platyhelminthes,Nemertea,Bryozoa,Chlorophyta,Chlorophyta,Bryozoa,,,,,,,,,,,
16,Rebecca,Luke,Shallow,Plastic,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,,,,S,P,V,SPV,,,,
17,Sean,Callum,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,10,0,0,0,,,,S,P,V,SPV,,,,
18,Sean,Callum,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,4,0,0,0,,,,S,S,H,SSH,,,,
19,Michael,Lauren,Shallow,Slate,Horizontal,0,0,0,0,0,0,70,0,0,0,0,0,5,5,0,0,0,10,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,,,,S,S,V,SSV,,,,
20,Maisie,NA,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,50,0,0,0,,,,S,P,V,SPV,,,,
21,Rafael,James,Shallow,Plastic,Vertical,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,40,0,0,1,,,,D,P,V,DPV,,,,
22,Louise,Libby,Deep,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,S,S,H,SSH,,,,
23,Joey,Hannah,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,D,P,H,DPH,,,,
24,Kate,Sophie,Deep,Plastic,Horizontal,0,0,0,0,10,0,0,0,0,0,0,40,0,0,0,0,0,0,5,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,,,,D,P,V,DPV,,,,
25,Morgan,Luka,Deep,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,,,,D,P,H,DPH,,,,
26,Ben,Gabs,Deep,Plastic,Horizontal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,D,S,V,DSV,,,,
27,Lorraine,Emily,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,10,0,0,50,0,0,0,,,,S,S,V,SSV,,,,
28,Jade,Izzy,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,30,0,0,0,,,,D,S,V,DSV,,,,
29,Honey,NA,Deep,Slate,Vertical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,,,,S,S,V,SSV,,,,
30,Megan,NA,Shallow,Slate,Vertical,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,1,5,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,D,P,H,DPH,,,,
31,Emma,Barry,Deep,Plastic,Horizontal,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,S,P,H,SPH,,,,
32,Duncan,NA,Shallow,Plastic,Horizontal,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5,,,,S,P,V,SPV,,,,
33,Katrenakova,Doyle,Shallow,Plastic,Vertical,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,,,,D,S,H,DSH,,,,
34,Abigail,Danielle,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,70,0,1,5,,,,S,P,H,SPH,,,,
35,Dyllan,Harry,Shallow,Plastic,Horizontal,0,0,5,0,0,0,10,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,1,0,0,0,0,0,0,,,,D,S,V,DSV,,,,
36,Oscar,Alli,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,,,,D,S,H,DSH,,,,
37,Luke,Luke,Deep,Slate,Horizontal,0,0,0,0,0,0,50,0,0,0,0,30,0,5,0,0,30,0,10,0,0,0,0,0,0,0,30,0,0,0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,,,,S,S,V,SSV,,,,
38,Charlie,Ben,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,25,0,0,0,,,,S,S,H,SSH,,,,
39,Dan,Laurrie,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,,,,S,P,H,SPH,,,,
40,Sam,Dan,Shallow,Plastic,Horizontal,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,,,,,,,,,,,
